Sides,Resolution,Filename,Area,Unknowns,Q1,C_shape,Build Time (s),Solve Time (s),Residual,NNZ
25,512,512.png,78925.0,78925,249992200.03176546,24.917399919711443,0.8289406240000972,0.6037158920007641,2.2490121511491303e-12,393353
25,2048,2048.png,1259484.0,1259484,63226724499.412964,25.089073628521245,13.577205025001604,44.14362612000332,3.664747322771242e-11,6292342
25,128,128.png,4971.0,4971,1018319.5028835142,24.266294547072697,0.05971990999751142,0.014735288001247682,1.4141904987077716e-13,24535
44,256,256.png,19884.0,19884,16010614.243091777,24.694458938113186,0.2193952689995058,0.09189919799973723,5.624942527548241e-13,98780
44,1024,1024.png,315040.0,315040,3966712077.725254,25.020772784929704,3.4016389470016293,5.51086521599791,9.128950959887423e-12,1572664
44,512,512.png,78964.0,78964,250298165.77809462,24.911542106656928,0.930060743001377,0.6568836410006043,2.2603772442528094e-12,393548
44,2048,2048.png,1259320.0,1259320,63239780652.62979,25.077361844613733,14.321991482000158,45.905939111002226,3.698395838483752e-11,6291536
44,128,128.png,4976.0,4976,1019106.6864125325,24.29635319846873,0.05733029999828432,0.014052883998374455,1.347483656404819e-13,24560
29,256,256.png,19863.0,19863,15981329.667862836,24.68748077911099,0.21096663600110332,0.08945839700027136,5.672938328523391e-13,98677
29,1024,1024.png,315370.0,315370,3974132585.403817,25.026401299566583,3.38043734600069,4.8562840779995895,9.107562870830455e-12,1574310
29,512,512.png,79054.0,79054,250867459.2026776,24.911700129871992,0.8330908780008031,0.5701350609997462,2.2554558750848714e-12,394000
29,2048,2048.png,1259554.0,1259554,63246449154.25296,25.084037129842862,13.467649502999848,45.755540303998714,3.69230677319935e-11,6292694
29,128,128.png,4999.0,4999,1030301.364932747,24.255040176163625,0.07548009900347097,0.014649027998530073,1.4123033417164583e-13,24675
41,256,256.png,19885.0,19885,16016118.209002435,24.688455706935514,0.2158139229977678,0.0928921189988614,5.637403985746776e-13,98785
41,1024,1024.png,315361.0,315361,3974828836.7776127,25.020589415273044,3.4064368110011856,5.299084705999121,9.090042945539994e-12,1574267
41,512,512.png,79116.0,79116,251309169.28137565,24.906936240721862,0.8419192260007549,0.5830686980007158,2.259376959767488e-12,394308
41,2048,2048.png,1259709.0,1259709,63276890986.88309,25.078140533325946,13.523017470000923,46.33716451300279,3.705194853896595e-11,6293473
41,128,128.png,5002.0,5002,1031216.2847222185,24.26261529291084,0.05518705900249188,0.013982066000608029,1.4032099430192417e-13,24690
37,256,256.png,19799.0,19799,15875330.515413994,24.692424552634737,0.21138950800013845,0.08754609700190485,5.694707981125822e-13,98355
37,1024,1024.png,315335.0,315335,3973951143.766948,25.021989105468332,3.374439885999891,4.797739401001309,9.049761512957107e-12,1574137
37,512,512.png,79068.0,79068,250997525.70222872,24.907610569104857,0.8362031849974301,0.614887091996934,2.232425523993563e-12,394068
37,2048,2048.png,1259951.0,1259951,63298283083.1752,25.079298285468887,13.472186990002228,39.588816956998926,3.66535009735038e-11,6294683
37,128,128.png,4976.0,4976,1020601.6860365118,24.26076337004424,0.08081405900156824,0.014190498000971274,1.4088643777255375e-13,24560
12,256,256.png,19976.0,19976,16108670.994717948,24.771787575203806,0.21696009199877153,0.08160771099937847,5.564790175751098e-13,99248
12,1024,1024.png,314472.0,314472,3934857960.499114,25.13245453247721,3.368220273998304,4.226791905999562,8.972181903773259e-12,1569856
12,512,512.png,79044.0,79044,249813190.2634314,25.010504567078495,0.8427325480006402,0.5611375700027565,2.2479889203046197e-12,393964
12,2048,2048.png,1258808.0,1258808,62894911285.49954,25.194368645676583,13.436956198998814,38.74044699300066,3.618105921414042e-11,6289032
12,128,128.png,5064.0,5064,1053957.2931056076,24.331247734371374,0.05823106000025291,0.014369180000358028,1.4169580816951817e-13,25000
34,256,256.png,19762.0,19762,15818809.567236466,24.6881184288905,0.2138533789984649,0.08684936599820503,5.73817287320652e-13,98174
34,1024,1024.png,315142.0,315142,3968982291.9959173,25.022656403452192,3.3850191559977247,4.453689078000025,9.032383714811533e-12,1573174
34,512,512.png,78750.0,78750,248969882.61917847,24.908886306886526,0.8382441630019457,0.5770572389992594,2.257457608826261e-12,392482
34,2048,2048.png,1259390.0,1259390,63239255085.18847,25.080358235773694,13.413089142999524,41.87799895900025,3.6880947366463374e-11,6291882
34,128,128.png,4946.0,4946,1007961.9354980304,24.2696823545355,0.07778552099989611,0.014182525999785867,1.4054760147544497e-13,24410
31,256,256.png,19769.0,19769,15829677.516558649,24.688649569215123,0.21347634199992171,0.09011993799867923,5.632037827407077e-13,98207
31,1024,1024.png,315180.0,315180,3969611134.0662622,25.024726363623156,3.3776504110028327,4.892361592002999,9.104843939738583e-12,1573360
31,512,512.png,78834.0,78834,249482221.22741324,24.910791339856463,0.8418918589995883,0.588441370997316,2.246638751278758e-12,392900
31,2048,2048.png,1259585.0,1259585,63253756038.06598,25.082374100760354,13.458332561000134,39.70491061199937,3.6789816699044526e-11,6292849
31,128,128.png,4975.0,4975,1020475.6622669811,24.254008121091907,0.056429235002724454,0.01449648799825809,1.438146304243268e-13,24555
15,256,256.png,19802.0,19802,15850627.06907163,24.738403237378442,0.22389545899932273,0.08683098500114284,5.666383292512588e-13,98370
15,1024,1024.png,315396.0,315396,3966190805.2808695,25.080648334808394,3.382557328000985,4.335095342001296,9.084475765913955e-12,1574426
15,512,512.png,79031.0,79031,250180324.7964712,24.965588185566613,0.8481231089972425,0.6147112830003607,2.249388644464653e-12,393877
15,2048,2048.png,1259793.0,1259793,63132767352.89894,25.13874283345706,13.413618005997705,43.08603159199993,3.6452380760641776e-11,6293865
15,128,128.png,4993.0,4993,1025798.1372117283,24.303074938080485,0.07640790799996466,0.014144392000162043,1.3928991653642733e-13,24643
20,256,256.png,19892.0,19892,16022103.065997884,24.696612072090403,0.21183025800200994,0.08878260600249632,5.574494783375453e-13,98828
20,1024,1024.png,315508.0,315508,3975113710.9344893,25.042125912065647,3.361849531000189,4.766290186998958,9.063479555024333e-12,1575012
20,512,512.png,78984.0,78984,250283752.88859233,24.92559818206379,0.836968452000292,0.5539822859973356,2.2800487454957708e-12,393656
20,2048,2048.png,1260112.0,1260112,63259509173.44772,25.10108398391575,13.468030871998053,44.11030550999931,3.6768892562863765e-11,6295512
20,128,128.png,5056.0,5056,1053864.2913938288,24.256572889655924,0.08034316100020078,0.014487478001683485,1.427144897630624e-13,24960
4,256,256.png,20164.0,20164,14693641.217517149,27.670942143005643,0.2175785840008757,0.07501333400068688,4.987808814251892e-13,100252
4,1024,1024.png,315844.0,315844,3530884003.4693184,28.25282060752547,3.37413197099886,3.3532124970006407,7.841709686894181e-12,1576972
4,512,512.png,79524.0,79524,225414805.34404027,28.05524049916716,0.8507675120017666,0.4590379319997737,1.9888652278826673e-12,396492
4,2048,2048.png,1258884.0,1258884,55894906138.291306,28.3530116596855,13.452795679997507,23.730766728000162,3.150760058876224e-11,6289932
4,128,128.png,5184.0,5184,997426.4879431463,26.943194636246538,0.06525115000113146,0.014504194998153253,1.3204845600636032e-13,25632
40,256,256.png,19960.0,19960,16140976.794912256,24.682620207073146,0.22337508300188347,0.08561967299829121,5.796862131723199e-13,99160
40,1024,1024.png,315332.0,315332,3974256953.071725,25.019587660819642,4.802672322002763,6.4705034120015625,9.01407152582673e-12,1574124
